대학,개설학과,학년,이수구분,과목번호-분반,과목명,학점-시간,담당교수,폐강,강의시간,유연학기,flag
대학(전체),,전체,교양,54433-01,디지털게임과문화,3,이민하,,"화1,2,3",,
대학(전체),,전체,교양,54434-01,디지털시대의공감,3,이현정,,"수4,5,6",,
대학(전체),,전체,교양,54435-01,위험사회의웰빙사이언스,3,김양지,,"수7,8,9",,
대학(전체),,전체,교양,54432-01,트렌드를읽는데이터경영,3,육지훈 한진영,,"월4,5,6",,
소프트웨어대학,소프트웨어학부,1,전공기초,05056-01,논리회로,3,이남규,,"월5,6 / 수5",,
소프트웨어대학,소프트웨어학부,1,전공기초,05056-02,논리회로,3,이남규,,"월7, 수7,8",,
소프트웨어대학,소프트웨어학부,1,전공기초,05056-03,논리회로 (영어A강의),3,김상욱,,"수5 / 월5,6",,
대학(전체),,1,교양,53788-01,디자인적사고와문제해결,2,한진영,,"월1,2",,
대학(전체),,1,교양,53788-02,디자인적사고와문제해결,2,한진영,,"수1,2",,
대학(전체),,1,교양,53788-03,디자인적사고와문제해결,2,한진영,,"수3,4",,
소프트웨어대학,소프트웨어학부,1,전공,49361-01,비쥬얼프로그래밍,3,김승태,,"목9,10,11",,
대학(전체),,1,교양,52533-01,앙트레프레너십시대의회계,2,송명섭,,"수1,2",,
대학(전체),,1,교양,52533-20,앙트레프레너십시대의회계,2,김보영,,"목3,4",,
대학(전체),,1,교양,52533-21,앙트레프레너십시대의회계,2,박인선,,"목3,4",,
소프트웨어대학,소프트웨어학부,1,전공기초,17086-01,이산수학,3,박재현,,"화7,8,9",,
소프트웨어대학,소프트웨어학부,1,전공기초,17086-02,이산수학,3,홍병우,,"금4,5,6",,
소프트웨어대학,소프트웨어학부,1,전공기초,17086-03,이산수학 (영어A강의),3,김은우,,"금4,5,6",,
대학(전체),,1,교양,49949-14,창의와소통,2,한수영,,"화3,4",,
대학(전체),,1,교양,49949-15,창의와소통,2,황희선,,"화3,4",,
대학(전체),,1,교양,49949-16,창의와소통,2,이주영,,"화3,4",,
대학(전체),,1,교양,49949-17,창의와소통,2,김선규,,"월10,11",,
대학(전체),,1,교양,49949-18,창의와소통,2,이주영,,"화5,6",,
대학(전체),,1,교양,49949-19,창의와소통,2,홍경남,,"화5,6",,
소프트웨어대학,소프트웨어학부,1,전공기초,47710-01,프로그래밍,3,김승태,,"목5,6,7,8",,
소프트웨어대학,소프트웨어학부,1,전공기초,47710-02,프로그래밍,3,김명호,,"수5,6 / 금5,6",,
소프트웨어대학,소프트웨어학부,1,전공기초,47710-04,프로그래밍,3,이남규,,"화5,6 / 목5,6",,
소프트웨어대학,소프트웨어학부,1,전공기초,47710-05,프로그래밍,3,이창하,,"월3,4 / 수3,4",,
소프트웨어대학,소프트웨어학부,1,전공기초,47710-06,프로그래밍,3,이남규,,"화9,10 / 목9,10",,
소프트웨어대학,소프트웨어학부,1,전공기초,47710-07,프로그래밍,3,이예솜,,"수7,8,9,10",,
소프트웨어대학,소프트웨어학부,1,전공기초,47710-03,프로그래밍 (영어A강의),3,김은우,,"목7,8, 금7,8",,
소프트웨어대학,소프트웨어학부,2,전공,49156-04,객체지향프로그래밍,3,조용진,,"수8,9,10",,
소프트웨어대학,소프트웨어학부,2,전공,49156-01,객체지향프로그래밍 (영어A강의),3,손봉수,,"월2 / 수1,2",,
소프트웨어대학,소프트웨어학부,2,전공,49156-02,객체지향프로그래밍 (영어A강의),3,손봉수,,"월3,4 / 수3",,
소프트웨어대학,소프트웨어학부,2,전공,49156-03,객체지향프로그래밍 (영어A강의),3,손봉수,,"월6 / 수5,6",,
소프트웨어대학,소프트웨어학부,2,전공,54892-01,산업체특강(1),2,방영세,,"화9,10",,
소프트웨어대학,소프트웨어학부,2,전공,40458-01,오토마타와형식언어,3,김성권,,"화1,2 / 목2",,
소프트웨어대학,소프트웨어학부,2,전공,40458-02,오토마타와형식언어,3,김성권,,"화5,6 / 목5",,
소프트웨어대학,소프트웨어학부,2,전공,40458-03,오토마타와형식언어,3,김명호,,"수8 / 금7,8",,
소프트웨어대학,소프트웨어학부,2,전공필수,21427-01,컴퓨터구조 (영어A강의),3,백정엽,,"수3 / 금3,4",,
소프트웨어대학,소프트웨어학부,2,전공필수,21427-02,컴퓨터구조 (영어A강의),3,백정엽,,"수7 / 금7,8",,
소프트웨어대학,소프트웨어학부,2,전공필수,21427-03,컴퓨터구조 (영어A강의),3,김효수,,"화3,4 / 목3",,
소프트웨어대학,소프트웨어학부,2,전공필수,21427-04,컴퓨터구조 (영어A강의),3,김효수,,"화9,10,11",,
소프트웨어대학,소프트웨어학부,2,전공필수,22405-01,프로그래밍언어론,3,김성조,,"수7,8,9",,
소프트웨어대학,소프트웨어학부,2,전공필수,22405-05,프로그래밍언어론,3,김명호,,"금9,10,11",,
소프트웨어대학,소프트웨어학부,2,전공필수,22405-02,프로그래밍언어론 (영어A강의),3,김무철,,"월3,4 / 수4",,
소프트웨어대학,소프트웨어학부,2,전공필수,22405-03,프로그래밍언어론 (영어A강의),3,김무철,,"월2 / 수1,2",,
소프트웨어대학,소프트웨어학부,2,전공필수,22405-04,프로그래밍언어론 (영어A강의),3,김무철,,"화7,8,9",,
소프트웨어대학,소프트웨어학부,2,전공,30195-03,확률및통계,3,홍영훈,,"월7,8,9",,
소프트웨어대학,소프트웨어학부,2,전공,30195-01,확률및통계 (영어A강의),3,권준석,,"화3,4 / 목3",,
소프트웨어대학,소프트웨어학부,2,전공,30195-02,확률및통계 (영어A강의),3,권준석,,"화6 / 목5,6",,
소프트웨어대학,소프트웨어학부,3,전공,34692-01,데이타베이스설계,3,강현철,,"월5 / 수5,6",,
소프트웨어대학,소프트웨어학부,3,전공,34692-02,데이타베이스설계,3,강현철,,"월7,8 / 수8",,
소프트웨어대학,소프트웨어학부,3,전공,34692-03,데이타베이스설계 (영어A강의),3,손용석,,"목7,8,9",,
소프트웨어대학,소프트웨어학부,3,전공,52811-01,리눅스 시스템 응용 설계 (영어A강의),3,손용석,,"화5,6 / 목5",,
소프트웨어대학,소프트웨어학부,3,전공,47713-01,모바일 앱 개발,3,박재현,,"목3,4 / 금3",,
소프트웨어대학,소프트웨어학부,3,전공,52718-01,비즈니스 인텔리전스 (영어A강의),3,정재은,,"금4,5,6",,
소프트웨어대학,소프트웨어학부,3,전공,53090-01,산업체핸즈온 프로젝트,3,김대훈,,"화7,8,9",,
소프트웨어대학,소프트웨어학부,3,전공,52320-01,웹프로그래밍 (영어A강의),3,김상욱,,"목9,10,11",,
소프트웨어대학,소프트웨어학부,3,전공,50178-02,캡스톤디자인(1),2,박상오,,"월1,2,3,4",,
소프트웨어대학,소프트웨어학부,3,전공,50178-03,캡스톤디자인(1),2,박상오,,"화1,2,3,4",,
소프트웨어대학,소프트웨어학부,3,전공,50178-01,캡스톤디자인(1) (영어A강의),2,권영빈,,"월1,2,3,4",,
소프트웨어대학,소프트웨어학부,3,전공,50178-04,캡스톤디자인(1) (영어A강의),2,박상오,,"수1,2,3,4",,
소프트웨어대학,소프트웨어학부,3,전공,21574-01,컴퓨터통신,3,박창윤,,"월5 / 수5,6",,
소프트웨어대학,소프트웨어학부,3,전공,21574-02,컴퓨터통신,3,박창윤,,"월7,8 / 수8",,
소프트웨어대학,소프트웨어학부,3,전공,51280-01,휴먼ICT인공지능,3,김대원,,"금7,8,9",,
소프트웨어대학,소프트웨어학부,3,전공,51280-02,휴먼ICT인공지능 (영어A강의),3,이재성,,"월3,4 / 수3",,
소프트웨어대학,소프트웨어학부,3,전공,51280-03,휴먼ICT인공지능 (영어A강의),3,이재성,,"목7,8,9",,
소프트웨어대학,소프트웨어학부,4,전공,53874-01,SW커리어세미나(2),1,강윤정,,화2,,
소프트웨어대학,소프트웨어학부,4,전공,33752-01,내장형시스템설계,3,박상오,,"화7,8,9",,
소프트웨어대학,소프트웨어학부,4,전공,53509-01,디자인 Thinking,3,강윤정,,"목7,8,9",,
소프트웨어대학,소프트웨어학부,4,전공,53744-01,머신러닝프로젝트,3,홍병우,,"금7,8,9",,
소프트웨어대학,소프트웨어학부,4,전공필수,53853-01,산업체인턴쉽,1,홍원길,,"목5,6",,
소프트웨어대학,소프트웨어학부,4,전공,32741-01,설계패턴,3,이찬근,,"월3,4 / 수3",,
소프트웨어대학,소프트웨어학부,4,전공,14871-01,영상처리 (영어A강의),3,최광남,,"수7,8,9",,
소프트웨어대학,소프트웨어학부,4,전공,29085-01,정보표준화,3,권영빈,,"월7,8,9",,
소프트웨어대학,소프트웨어학부,4,전공,49872-01,휴먼인터페이스 컴퓨터게임설계  (영어A강의),3,이창하,,"월6 / 수5,6",,
